## AstroNvimV4 @quick @reference
Buffers                             | <leader>b
Previous Tab                        | <leader><tab>[

## plugins @quick @reference
Buffer List                         | <leader>bB
Close Buffer                        | <leader>bc
Close Buffer from Tabline           | <leader>bd
Force Close Buffer                  | <leader>bC
Pick Buffer to Close                | <leader>bD
Previous Buffer                     | <leader>bp
Select Buffer from Tabline          | <leader>bb
Switch Buffer                       | <leader>b,
Close All Buffers to the Left       | <leader>bl
Close All Buffers to the Right      | <leader>br
Sort Buffers                        | <leader>bs
LSP Info                            | <leader>ci
Code Action                         | <C-space>
Code Action                         | <leader>ca
Format Document                     | <leader>cf
Line Diagnostics                    | <leader>cl
Local Diagnostics                   | <leader>cd
Workspace Diagnostics               | <leader>cD
Rename                              | <leader>cr
Structural Replace                  | <leader>cR
Attach                              | <leader>da
Breakpoint                          | <leader>db
Clear Breakpoints                   | <leader>dB
Close UI                            | <leader>dC
Continue                            | <leader>dc
Continue                            | <leader>dd
Open Diagnostics Float              | <leader>de
Diagnostics Location List           | <leader>dq
Toggle Diagnostics                  | <leader>dt
Visual Hover                        | <leader>dh
Step into                           | <leader>di
Step over                           | <leader>do
Step out                            | <leader>dO
Diagnostics location list           | <leader>dq
Pause                               | <leader>dp
Repl                                | <leader>dr
Scopes                              | <leader>ds
Terminate                           | <leader>dT
Log variable                        | <leader>dv
Log variable above                  | <leader>dV
Watches                             | <leader>dw
Toggle UI                           | <leader>Dt
Find Buffer                         | <leader>Df
Rename Buffer                       | <leader>Dr
Last Query Info                     | <leader>Dq
Signature Help                      | gK
Alpha Dashboard                     | <leader>A
Noice Last Message                  | <leader>snl
Noice History                       | <leader>snh
Noice All                           | <leader>sna
Noice Log                           | <leader>snL
Noice Errors                        | <leader>sne
Filter Noice                        | <leader>snf
Toggle Treesitter Join              | <leader>tt
Treesitter Join                     | <leader>tj
Treesitter Split                    | <leader>ts
Explorer (root dir)_                | <leader>e
Explorer Float     _                | <leader>E
Find in Files (Grep)                | <leader>/
Command History                     | <leader>:
Cheat Sheet                         | <leader>?
AstroNvimV4 Cheatsheet              | <leader>H
Find Files (root dir)               | <leader><space>
Find Files (cwd)                    | <leader>fF
Telescope Auto Commands             | <leader>sa
Telescope Command History           | <leader>sc
Telescope Commands                  | <leader>sC
Telescope Diagnostics               | <leader>sd
Live Grep (root dir)                | <leader>sg
Live Grep (cwd)                     | <leader>sG
Search Hightlight Groups            | <leader>sH
Telescope Man Pages                 | <leader>sM
Jump to Mark                        | <leader>sm
Options                             | <leader>so
Resume                              | <leader>sR
Grep Word (root dir)                | <leader>sw
Grep Word (cwd)                     | <leader>sW
Goto Symbol                         | <leader>ss
Goto Symbol (workspace)             | <leader>sS
Document Diagnostics (Trouble)      | <leader>xx
Workspace Diagnostics (Trouble)     | <leader>xX
Location List (Trouble)             | <leader>xL
Quickfix List (Trouble)             | <leader>xQ
Todo (Trouble)                      | <leader>xt
Todo/Fix/Fixme (Trouble)            | <leader>xT
Todo                                | <leader>st
Restore Session (persistence)       | <leader>ps
Restore Last Session (persistence)  | <leader>pl
Don't Save Current Session          | <leader>pd
Commands                            | <leader>sc
Strings                             | <leader>st
Help                                | <leader>s?
Headings                            | <leader>sh
Keymaps                             | <leader>sk
Vim Options                         | <leader>sO
Projects                            | <leader>sp
Registers                           | <leader>sR
Text Under Cursor                   | <leader>ss
Emoji                               | <leader>sS
Search History                      | <leader>s:
Command History                     | <leader>s;
Fuzzy Search                        | <leader>sf
File Browser                        | <leader>fb
Zoxide                              | <leader>fz
Open File                           | <leader>ff
Recent Files                        | <leader>fr
Run 'make'                          | <leader>mm
Start Markdown Preview              | <leader>mp
Stop Markdown Preview               | <leader>ms
Toggle Markdown Preview             | <leader>mt

## terminal.nvim @terminal
Terminal Send                       | <leader>ts
Terminal Toggle                     | <leader>to
New Terminal Toggle                 | <leader>tO
Terminal Run                        | <leader>tr
New Terminal Run                    | <leader>tR
Terminal Kill                       | <leader>tk
Terminal Next                       | <leader>t]
Terminal Prev                       | <leader>t[
Move Below Right                    | <leader>tl
Move Bottom Right                   | <leader>tL
Move Below Right New                | <leader>th
Move Bottom Right New               | <leader>tH
Move Float                          | <leader>tf

## git @git
Add current                         | <leader>ga
Add all                             | <leader>gA
Blame Line                          | <leader>gm
View Full Git Blame                 | <leader>gL
Branches                            | <leader>gB
Git Branches                        | <leader>gb
Git Commits                         | <leader>gC
Log Commits                         | <leader>gla
Log Buffer Commits                  | <leader>glc
Open Neogit Commit Page             | <leader>gnc
Open Neogit Override CWD            | <leader>gnd
Open Neogit Override Kind           | <leader>gnk
Open Neogit Tap Page                | <leader>gnt
Preview Git Hunk                    | <leader>gp
Reset Git Buffer                    | <leader>gr
Status                              | <leader>gs
Git Status                          | <leader>gt
Telescope Status                    | <leader>gS
ToggleTerm Lazygit                  | <leader>gg
Unstage Git Hunk                    | <leader>gu
View Git Diff                       | <leader>gd
Worktrees                           | <leader>gww
Create Worktree                     | <leader>gwc

## harpoon @harpoon
Add File to Harpoon                 | <leader>ha
Toggle Harpoon                      | <leader>hh
Go to Harpoon File 1                | <leader>h1
Go to Harpoon File 2                | <leader>h2
Go to Harpoon File 3                | <leader>h3
Go to Harpoon File 4                | <leader>h4
Go to Harpoon File 5                | <leader>h5

## ui @ui
Colorscheme with Preview            | <leader>uC
Change Line Numbers                 | <leader>un
Toggle Auto Chdir                   | <leader>uA
Toggle Background                   | <leader>ub
Toggle Diagnostics                  | <leader>ud
Toggle Signcolumn                   | <leader>ug
Toggle Foldcolumn                   | <leader>u>
Change Indent Setting               | <leader>ui
Toggle Statusline                   | <leader>ul
Change Line Numbering               | <leader>un
Toggle Notifications                | <leader>uN
Toggle Paste Mode                   | <leader>up
Toggle Spellcheck                   | <leader>us
Toggle Conceal                      | <leader>uS
Toggle Tabline                      | <leader>ut
Toggle URL Highlight                | <leader>uu
Toggle Wrap                         | <leader>uw
Toggle Syntax Highlight             | <leader>uy
